The Godfather; 1972; Crime, Drama; 9,2; 175;
The Shawshank Redemption; 1994; Drama; 9,3; 142;
Schindler's List; 1993; Biography, Drama, History; 8,9; 195;
Raging Bull; 1980; Biography, Drama, Sport; 8,2; 129;
Casablanca; 1942; Drama, Romance, War; 8,5; 102;
Citizen Kane; 1941; Drama, Mystery; 8,4; 119;
Gone With The Wind; 1939; Drama, History, Romance; 8,2; 221;
The Wizard Of Oz; 1939; Adventure, Family, Fantasy; 8,0; 102;
One Flew Over The Cuckoo's Nest; 1975; Drama; 8,7; 133;
Lawrence Of Arabia; 1962; Adventure, Biography, Drama;8,3; 216;
Vertigo; 1958; Mystery, Romance, Thriller; 8,3; 128;
Psycho; 1960; Horror, Mystery, Thriller; 8,5; 109;
The Godfather part II; 1974; Crime, Drama; 9; 202;
On The Waterfront; 1954; Crime, Drama, Thriller; 8,2; 108;
Sunset Boulevard; 1950; Drama, Film-Noir; 8,4; 110;
Forrest Gump; 1994; Drama, Romance; 8,8; 142;
The Sound Of Music; 1965; Biography, Drama, Family, Musical; 8,0; 174;
12 Angry Men; 1957; Crime, Drama; 8,9; 96; 96;
West Side Story; 1961; Crime, Drama; 7,6; 152;
Star Wars; 1977; Action, Adventure, Family; 8,6; 121;
2001 A Space Odyssey; 1968; Adventure, Sci-fi; 8,3; 149;
ET; 1982; Family, Sci-fi; 7,9; 115;
The Silence Of The Lambs; 1991;Crime, Drama, Thriller; 8,6; 118;
Chinatown; 1974; Drama, Mystery, Thriller; 8,2; 130;
The Bridge Over The River Kwai; 1957; Adventure, Drama, War; 8,2; 161;
Singin' In The Rain; 1952; Comedy, Musical, Romance; 8,3; 103;
It's A Wonderful Life; 1946; Drama, Family, Fantasy; 8,6; 130;
Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb; 1964; Comedy, War; 8,4; 95;
Some Like It Hot; 1959; Comedy, Romance; 8,2; 121;
Ben Hur; 1959; Adventure, Drama, History; 8,1; 212;
Apocalypse Now; 1979; Drama, War; 8,5; 147;
Amadeus; 1984; Biography, Drama, History; 8,3; 160;
Lord Of The Rings - The Return Of The King; 2003; Action, Adventure, Drama; 8,9; 201;
Gladiator; 2000; Action, Adventure, Drama; 8,5; 155;
Titanic; 1997; Drama, Romance; 7,8; 194;
From Here To Eternity; 1953; Drama, Romance, War; 7,7; 118;
Saving Private Ryan; 1998; Drama, War; 8,6; 169;
Unforgiven; 1992; Drama, Western; 8,2; 130;
Raiders Of The Lost Ark; 1981; Action, Adventure; 8,5; 115;
Rocky; 1976; Drama, Sport; 8,1; 120;
A Streetcar Named Desire; 1951; Drama; 8,0; 122;
A Philadelphia Story; 1940; Comedy, Romance; 8,0; 112;
To Kill A Mockingbird; 1962; Crime, Drama; 8,3; 129;
An American In Paris; 1951; Drama, Musical, Romance; 7,2; 114;
The Best Years Of Our Lives; 1946; Drama, Romance, War; 8,1; 170;
My Fair Lady; 1964; Drama, Family, Musical; 7,9; 170;
A Clockwork Orange; 1971; Crime, Drama, Sci-fi; 8,3; 136;
Doctor Zhivago; 1965; Drama, Romance, War; 8,0; 197;
The Searchers; 1956; Adventure, Drama, Western; 8,0; 119;
Jaws; 1975; Adventure, Drama, Thriller; 8,0; 124;
Patton; 1970; Biography, Drama, War; 8,0; 172;
Butch Cassidy And The Sundance Kid; 1969; Biography, Crime, Drama; 8,1; 110;
The Treasure Of The Sierra Madre; 1948; Adventure, Drama, Western; 8,3; 126;
The Good, The Bad And The Ugly; 1966; Western; 8,9; 161;
The Apartment; 1960; Comedy, Drama, Romance; 8,3; 125;
Platoon; 1986; Drama, War; 8,1; 120;
High Noon; 1952; Action, Drama, Thriller; 8,0; 85;
Braveheart; 1995; Biography, Drama, History; 8,4; 178;
Dances With Wolves; 1990; Adventure, Drama, Western; 8,0; 181;
Jurassic Park; 1993; Adventure, Sci-fi, Thriller; 8,1; 127
The Exorcist; 1973; Horror; 8,0; 122;
The Pianist; 2002; Biography, Drama, Music; 8,5; 150;
Goodfellas; 1990; Crime, Drama; 8,7; 146;
The Deer Hunter; 1978; Drama, War; 8,1; 183;
All Quiet On The Western Front; 1930; Drama, War; 8,1; 152;
Bonny And Clyde; 1967; Action, Biography, Crime; 7,9; 111;
The French Connection; 1971; Action, Crime, Drama; 7,8; 104;
City Lights; 1931; Comedy, Drama, Romance; 8,5; 87;
It Happened One Night; 1934; Comedy, Romance; 8,1; 105;
A Place In The Sun; 1951; Drama, Romance; 7,8; 122;
Midnight Cowboy; 1969; Drama; 7,9; 113;
Mr Smith Goes To Washington; 1939; Comedy, Drama; 8,2; 129;
Rain Man; 1988; Drama; 8,0; 133;
Annie Hall; 1977; Comedy, Romance; 8,0; 99;
Fargo; 1996; Crime, Drama, Thriller; 8,1; 98;
Giant; 1956; Drama, Western; 7,7; 201;
Shane; 1953; Drama, Western; 7,7; 118;
Grapes Of Wrath; 1940; Drama, History; 8,1; 129;
The Green Mile; 1999; Crime, Drama, Fantasy; 8,5; 189;
Close Encounters; 1977; Drama, Sci-fi; 7,7; 132
Nashville; 1975; Comedy, Drama, Music; 7,8; 160;
Network; 1976; Drama; 8,1; 121;
The Graduate; 1967; Comedy, Drama, Romance; 8,0; 106;
American Graffiti; 1973; Comedy, Drama; 7,5; 110;
Pulp Fiction; 1994; Crime, Drama; 8,9; 154;
Terms of Endearment; 1983; Comedy, Drama; 7,4; 132;
Good Will Hunting; 1997; Drama, Romance; 8,3; 126;
The African Queen; 1951; Adventure, Drama, Romance; 7,9; 105;
Stagecoach; 1939; Adventure, Western; 7,9; 96;
Mutiny On The Bounty; 1935; Adventure, Biography, Drama; 7,8; 132;
The Great Dictator; 1940; Comedy, Drama, War; 8,5; 125;
Double Indemnity; 1944; Crime, Drama, Film-Noir; 8,3; 107;
The Maltese Falcon; 1941; Film-Noir, Mystery; 8,1; 100;
Wuthering Heights; 1939; Drama, Romance; 7,7; 104;
Taxi Driver; 1976; Crime, Drama; 8,3; 114;
Rear Window; 1954; Mystery, Thriller; 8,5; 112;
The Third Man; 1949; Film-Noir, Mystery, Thriller; 8,2; 93;
Rebel Without A Cause; 1955; Drama; 7,8; 111;
North By Northwest; 1959; Adventure, Mystery, Thriller; 8,3; 136;
Yankee Doodle Dandy; 1942; Biography, Drama, Musical; 7,7; 126;
